xAxisTopLabel,xAxisGroupLabel,xAxisLabel,xAxisSubLabel,yAxisLabel
MRI-Q,Medium,execution time,llc-coh-dma,0.341198
MRI-Q,Medium,off-chip memory accesses,llc-coh-dma,0.000033
MRI-Q,Medium,execution time,coh-dma,0.341191
MRI-Q,Medium,off-chip memory accesses,coh-dma,0
MRI-Q,Medium,execution time,full-coh,4.959251
MRI-Q,Medium,off-chip memory accesses,full-coh,0
MRI-Q,Large,execution time,non-coh-dma,1
MRI-Q,Large,off-chip memory accesses,non-coh-dma,1
MRI-Q,Large,execution time,llc-coh-dma,2.296785
MRI-Q,Large,off-chip memory accesses,llc-coh-dma,1.000008
MRI-Q,Large,execution time,coh-dma,2.296634
MRI-Q,Large,off-chip memory accesses,coh-dma,0.999911
MRI-Q,Large,execution time,full-coh,7.124383
MRI-Q,Large,off-chip memory accesses,full-coh,0.999975
Conv-2D,Small,execution time,non-coh-dma,1
Conv-2D,Small,off-chip memory accesses,non-coh-dma,1
Conv-2D,Small,execution time,llc-coh-dma,0.626031
Conv-2D,Small,off-chip memory accesses,llc-coh-dma,0.129821
Conv-2D,Small,execution time,coh-dma,0.539667
Conv-2D,Small,off-chip memory accesses,coh-dma,0
Conv-2D,Small,execution time,full-coh,0.578919
Conv-2D,Small,off-chip memory accesses,full-coh,0
Conv-2D,Medium,execution time,non-coh-dma,1
Conv-2D,Medium,off-chip memory accesses,non-coh-dma,1
Conv-2D,Medium,execution time,llc-coh-dma,0.970614
Conv-2D,Medium,off-chip memory accesses,llc-coh-dma,0.450737
Conv-2D,Medium,execution time,coh-dma,1.067012
Conv-2D,Medium,off-chip memory accesses,coh-dma,0.441645
Conv-2D,Medium,execution time,full-coh,0.969196
Conv-2D,Medium,off-chip memory accesses,full-coh,0.441645
Conv-2D,Large,execution time,non-coh-dma,1
Conv-2D,Large,off-chip memory accesses,non-coh-dma,1
Conv-2D,Large,execution time,llc-coh-dma,0.99764
Conv-2D,Large,off-chip memory accesses,llc-coh-dma,0.571228
Conv-2D,Large,execution time,coh-dma,0.997432
Conv-2D,Large,off-chip memory accesses,coh-dma,0.572539
Conv-2D,Large,execution time,full-coh,0.997711
Conv-2D,Large,off-chip memory accesses,full-coh,0.572386
GEMM,Small,execution time,non-coh-dma,1
GEMM,Small,off-chip memory accesses,non-coh-dma,1
GEMM,Small,execution time,llc-coh-dma,0.883547
GEMM,Small,off-chip memory accesses,llc-coh-dma,0.024884
GEMM,Small,execution time,coh-dma,0.500406
GEMM,Small,off-chip memory accesses,coh-dma,0
GEMM,Small,execution time,full-coh,0.539169
GEMM,Small,off-chip memory accesses,full-coh,0
GEMM,Medium,execution time,non-coh-dma,1
GEMM,Medium,off-chip memory accesses,non-coh-dma,1
GEMM,Medium,execution time,llc-coh-dma,0.618874
GEMM,Medium,off-chip memory accesses,llc-coh-dma,0.041819
GEMM,Medium,execution time,coh-dma,0.601471
GEMM,Medium,off-chip memory accesses,coh-dma,0
GEMM,Medium,execution time,full-coh,1.434476
GEMM,Medium,off-chip memory accesses,full-coh,0
GEMM,Large,execution time,non-coh-dma,1
GEMM,Large,off-chip memory accesses,non-coh-dma,1
GEMM,Large,execution time,llc-coh-dma,0.949382
GEMM,Large,off-chip memory accesses,llc-coh-dma,0.42131
GEMM,Large,execution time,coh-dma,0.993838
GEMM,Large,off-chip memory accesses,coh-dma,0.468028
GEMM,Large,execution time,full-coh,3.177503
GEMM,Large,off-chip memory accesses,full-coh,0.434612
MLP,Small,execution time,non-coh-dma,1
MLP,Small,off-chip memory accesses,non-coh-dma,1
MLP,Small,execution time,llc-coh-dma,0.778407
MLP,Small,off-chip memory accesses,llc-coh-dma,0.00097
MLP,Small,execution time,coh-dma,0.531534
MLP,Small,off-chip memory accesses,coh-dma,0
MLP,Small,execution time,full-coh,0.641315
MLP,Small,off-chip memory accesses,full-coh,0
MLP,Medium,execution time,non-coh-dma,1
MLP,Medium,off-chip memory accesses,non-coh-dma,1
MLP,Medium,execution time,llc-coh-dma,0.597063
MLP,Medium,off-chip memory accesses,llc-coh-dma,0.009704
MLP,Medium,execution time,coh-dma,0.554488
MLP,Medium,off-chip memory accesses,coh-dma,0.009704
MLP,Medium,execution time,full-coh,1.690497
MLP,Medium,off-chip memory accesses,full-coh,0.022348
MLP,Large,execution time,non-coh-dma,1
MLP,Large,off-chip memory accesses,non-coh-dma,1
MLP,Large,execution time,llc-coh-dma,1.517882
MLP,Large,off-chip memory accesses,llc-coh-dma,1.00569
MLP,Large,execution time,coh-dma,1.513728
MLP,Large,off-chip memory accesses,coh-dma,1.005221
MLP,Large,execution time,full-coh,3.40716
MLP,Large,off-chip memory accesses,full-coh,1.005368
Autoencoder,Small,execution time,non-coh-dma,1
Autoencoder,Small,off-chip memory accesses,non-coh-dma,1
Autoencoder,Small,execution time,llc-coh-dma,0.5911
Autoencoder,Small,off-chip memory accesses,llc-coh-dma,0.033905
Autoencoder,Small,execution time,coh-dma,0.724798
Autoencoder,Small,off-chip memory accesses,coh-dma,0.001325
Autoencoder,Small,execution time,full-coh,0.694292
Autoencoder,Small,off-chip memory accesses,full-coh,0.002494
Autoencoder,Medium,execution time,non-coh-dma,1
Autoencoder,Medium,off-chip memory accesses,non-coh-dma,1
Autoencoder,Medium,execution time,llc-coh-dma,2.135117
Autoencoder,Medium,off-chip memory accesses,llc-coh-dma,1.108064
Autoencoder,Medium,execution time,coh-dma,2.064477
Autoencoder,Medium,off-chip memory accesses,coh-dma,1.061905
Autoencoder,Medium,execution time,full-coh,5.313879
Autoencoder,Medium,off-chip memory accesses,full-coh,1.081794
Autoencoder,Large,execution time,non-coh-dma,1
Autoencoder,Large,off-chip memory accesses,non-coh-dma,1
Autoencoder,Large,execution time,llc-coh-dma,2.97444
Autoencoder,Large,off-chip memory accesses,llc-coh-dma,1.434172
Autoencoder,Large,execution time,coh-dma,2.979536
Autoencoder,Large,off-chip memory accesses,coh-dma,1.432242
Autoencoder,Large,execution time,full-coh,7.85908
Autoencoder,Large,off-chip memory accesses,full-coh,1.43622
NVDLA,Small,execution time,non-coh-dma,1
NVDLA,Small,off-chip memory accesses,non-coh-dma,1
NVDLA,Small,execution time,llc-coh-dma,0.9978
NVDLA,Small,off-chip memory accesses,llc-coh-dma,0.7701
NVDLA,Small,execution time,coh-dma,0.9975
NVDLA,Small,off-chip memory accesses,coh-dma,0.7546
NVDLA,Small,execution time,full-coh,0.9970
NVDLA,Small,off-chip memory accesses,full-coh,0.89494
NVDLA,Medium,execution time,non-coh-dma,1
NVDLA,Medium,off-chip memory accesses,non-coh-dma,1
NVDLA,Medium,execution time,llc-coh-dma,0.9904
NVDLA,Medium,off-chip memory accesses,llc-coh-dma,0.8594
NVDLA,Medium,execution time,coh-dma,1.00075
NVDLA,Medium,off-chip memory accesses,coh-dma,0.8608
NVDLA,Medium,execution time,full-coh,1.0011
NVDLA,Medium,off-chip memory accesses,full-coh,0.8826
NVDLA,Large,execution time,non-coh-dma,1
NVDLA,Large,off-chip memory accesses,non-coh-dma,1
NVDLA,Large,execution time,llc-coh-dma,1.194
NVDLA,Large,off-chip memory accesses,llc-coh-dma,0.7944
NVDLA,Large,execution time,coh-dma,1.1984
NVDLA,Large,off-chip memory accesses,coh-dma,0.7915
NVDLA,Large,execution time,full-coh,2.5820
NVDLA,Large,off-chip memory accesses,full-coh,0.9705
